umidade,ph,nitrogenio,fosforo,potassio,rendimento
52.472407130841745,7.426094938462864,0,0,1,3728.208390251843
87.04285838459498,5.752419894985146,1,0,0,3524.1324482991045
73.9196365086843,5.984886142283841,1,0,1,3958.3708009792053
65.91950905182219,8.195662565581237,1,0,1,4000.0
39.36111842654619,7.31928717897877,1,0,1,3897.311679450663
39.35967122017216,5.527591154849889,1,1,1,3836.1099176818097
33.48501673009197,5.804414628598097,1,0,1,3529.0756167178706
81.97056874649611,7.490505307324168,0,1,1,4000.0
66.06690070459253,5.515184751538656,1,1,1,3966.430227387971
72.48435466776273,5.982424154252496,0,1,0,3391.0664173259474
31.23506965774815,7.146201368099758,1,0,1,3722.970958707347
88.19459112971967,7.57568559307808,1,1,1,4000.0
79.94655844802531,7.455883778507801,1,1,0,4000.0
42.74034664069657,6.17280792838168,1,0,1,3430.399501451701
40.909498032426036,7.636537664042608,1,1,1,3981.7216025679754
41.00427059120603,6.2117472624904,1,1,1,4000.0
48.254534577572265,6.476199094477803,0,0,1,3453.940784964452
61.48538589793427,7.739474215354072,1,0,1,4000.0
55.916701118526944,7.448898697141644,1,1,0,4000.0
47.47374841188251,8.047670231482535,1,1,1,4000.0
66.71117368334276,7.472838676901031,1,0,1,4000.0
38.36963163912251,7.204925810006415,1,0,0,3499.8575668030753
47.528678912113094,5.781024303484277,0,1,1,3558.0678551609763
51.9817105976215,6.6031474091783,1,1,1,4000.0
57.364199053022155,6.295607103045176,0,1,1,3709.4516920619944
77.11055768358082,6.231968930137251,1,1,1,4000.0
41.98042692950158,8.419031664257336,1,1,1,4000.0
60.8540663048167,6.679293174000281,1,1,1,4000.0
65.54487413172255,8.17613966553134,1,0,1,4000.0
32.78702476319987,7.393415877991789,0,0,1,3295.98608497772
66.45269111408629,7.884433910624946,0,1,0,3947.4858742463175
40.23144742123749,7.007911279315577,1,1,1,3948.856565403328
33.90309557911677,7.230711653879077,1,1,0,3983.3167091762375
86.93313223519999,6.977553081456591,0,1,0,3971.778235957896
87.93792198447356,6.085728963394134,0,0,1,3860.7105720371596
78.50384088698766,7.6673563457845155,1,1,1,4000.0
48.27682615040224,6.342317087322567,0,1,1,3721.0577361337178
35.86032684038303,5.572947899294362,1,0,1,3517.8179201089793
71.05398159072942,7.436416887721503,1,0,1,4000.0
56.40914962437608,6.031332038221147,0,1,1,3864.8157752031293
37.32229409068673,8.321375753058742,0,0,0,3382.2864812610565
